"Part Numbers","Manufacturer","Description","Unit Cost","Currency","Created By","Modified By","ID"
"6ES7194-4CA00-0AA0","Siemens","ET200 PRO TERMINAL MODULE FOR DO","42","CAD","Bradley, Tyler","Bradley, Tyler","157"
"6ES7194-4CA10-0AA0","Siemens","SIMATIC DP, Connection module for Digital electronic modules ET 200 PRO, 4xM12, plastic version","36","CAD","Bradley, Tyler","Bradley, Tyler","158"
"6ES7194-4DD00-0AA0","Siemens","ET200 PRO TERMINAL MODULE FOR 8/16FDI MODULE","118.27","CAD","Bradley, Tyler","Bradley, Tyler","159"
"6ES7194-4DC00-0AA0","Siemens","ET200 PRO TERMINAL MODULE FOR 4/8FDI 4FDO MODULE","115","CAD","Bradley, Tyler","Bradley, Tyler","160"
"6ES7194-4GB00-0AA0","Siemens","ET200 PRO MOUNTING RAIL 500mm LENGTH","89.6","CAD","Bradley, Tyler","Bradley, Tyler","161"
"6ES7194-4GB60-0AA0","Siemens","ET200 PRO MOUNTING RAIL 1000mm LENGTH","120","USD","Bradley, Tyler","Bradley, Tyler","162"
"6ES7194-4GB20-0AA0","Siemens","ET200 PRO MOUNTING RAIL 2000mm LENGTH","218.24","CAD","Bradley, Tyler","Bradley, Tyler","163"
"6GT2002-0HD01","Siemens","RFID MODULE BASE","848.74","CAD","Bradley, Tyler","Bradley, Tyler","164"
"6GT2002-1HD01","Siemens","RFID CONNECTION MODULE","159.54","CAD","Bradley, Tyler","Bradley, Tyler","165"
"6SL3514-1KE13-5AE0","Siemens","SIMATIC frequency converter ET 200PRO FC-2 with Safety Integrated STO","2,282.50","CAD","Bradley, Tyler","Bradley, Tyler","166"
"6SL3260-2TA00-0AA0","Siemens","Backplane bus module 155 mm for ET 200 PRO frequency converter","128.15","CAD","Bradley, Tyler","Bradley, Tyler","167"
"3RK1922-2BA00","Siemens","Backplane bus module 110 mm for ET 200PRO motor starter Maintenance switch modulesÂ ","66","CAD","Bradley, Tyler","Bradley, Tyler","168"
"3RK1304-0HS00-8AA0","Siemens","ET 200pro ASm 400 V Disconnection module 400 V to 25 A for safe switching-off ","466","CAD","Bradley, Tyler","Bradley, Tyler","169"
"ZNX:EIP200PRO","Siemens","Ethernet/IP Head Assembly for ET 200PRO","535","USD","Bradley, Tyler","Bradley, Tyler","170"
"ZNX:EIP200PROCM1","Siemens","ET 200pro, CM IM DP M12 / 7/8""","92","USD","Bradley, Tyler","Bradley, Tyler","171"
"6ES7157-1AB00-0AB0","Siemens","SIMATIC ET 200AL, PROFINET interface module IM 157-1 PN","321.13","CAD","Bradley, Tyler","Bradley, Tyler","172"
"6ES7147-5JD00-0BA0","Siemens","SIMATIC ET 200AL, CM 4x IO-Link, 4x M12","376.67","CAD","Bradley, Tyler","Bradley, Tyler","173"
"6ES7141-5AF00-0BA0 ","Siemens","SIMATIC ET 200AL, DI 8x 24 V DC, 4x M12","157.52","CAD","Bradley, Tyler","Bradley, Tyler","174"
"6ES7141-5AH00-0BA0 ","Siemens","SIMATIC ET 200AL, DI 16x 24 V DC, 8x M12","257.99","CAD","Bradley, Tyler","Bradley, Tyler","175"
"6ES7141-5BF00-0BA0 ","Siemens","SIMATIC ET 200AL, DI 8x 24 V DC, 8XM8","153","CAD","Bradley, Tyler","Bradley, Tyler","176"
"6ES7142-5AF00-0BA0 ","Siemens","SIMATIC ET 200AL, DQ 8x 24 V DC/2 A, 8x M12","223.34","CAD","Bradley, Tyler","Bradley, Tyler","177"
"6ES7143-5AF00-0BA0 ","Siemens","SIMATIC ET 200AL, DIQ 4+DQ 4x 24 V DC/0.5 A, 4x M12","172.41","CAD","Bradley, Tyler","Bradley, Tyler","178"
"6ES7143-5AH00-0BA0 ","Siemens","SIMATIC ET 200AL, DIQ 16x24 V DC/0.5 A, 8xM12","316.29","CAD","Bradley, Tyler","Bradley, Tyler","179"
"6ES7143-5BF00-0BA0 ","Siemens","SIMATIC ET 200AL, DIQ 4+DQ 4x 24 V DC/0.5 A, 8XM8","168","CAD","Bradley, Tyler","Bradley, Tyler","180"
"6ES7144-5KD00-0BA0 ","Siemens","SIMATIC ET 200AL, AI 4XU/I/RTD, 4x M12","348.9","CAD","Bradley, Tyler","Bradley, Tyler","181"
"6ES7145-5ND00-0BA0 ","Siemens","SIMATIC ET 200AL, AQ 4xU/I, 4xM12","391.15","CAD","Bradley, Tyler","Bradley, Tyler","182"
"6ES7142-6BF00-0AB0","Siemens","SIMATIC DP, ET 200ECO PN, 8 DO DC 24V/1,3A; 4 X M12, DOUBLE-ASSIGNEMENT, DEGREE OF PROTECTION IP67;","393.85","CAD","Bradley, Tyler","Bradley, Tyler","183"
"6ES7141-6BF00-0AB0","Siemens","SIMATIC DP, ET 200ECO PN, 8 DI 24V DC; 4 X M12, DOUBLE-ASSIGNEMENT, DEGREE OF PROTECTION IP67;","338.49","CAD","Bradley, Tyler","Bradley, Tyler","184"
"6ES7148-6JG00-0BB0","Siemens","SIMATIC ET 200eco PN, CM 8x IO-Link + DI 4x 24 V DC, M12-L, 8x M12, 4x port class A + 4x port class B, channel diagnostics, shared device with 2 controllers, prioritized startup, MRP, S2 redundancy, I&M0...3, degree of protection IP67","216.8","CAD","Bradley, Tyler","Bradley, Tyler","185"
"6ES7141-6BH00-0AB0","Siemens","SIMATIC DP, ET 200ECO PN, 16 DI 24 V DC; 8xM12, duplicate assignment; Degree of protection IP67","462","USD","Bradley, Tyler","Bradley, Tyler","186"
"6AV2128-3UB27-0BX0","Siemens","SIMATIC HMI MTP1900 PRO","5,117.77","CAD","Bradley, Tyler","Bradley, Tyler","187"
"6AV7674-1LA53-0AA0","Siemens","Extension Unit 19"" PROFISAFE","965.55","CAD","Bradley, Tyler","Bradley, Tyler","188"
"6AV7674-1MA00-0AA0","Siemens","E-STOP PUSHBUTTON FOR EXT. UNIT","56","CAD","Bradley, Tyler","Bradley, Tyler","189"
"6AV7674-1ME00-0AA0","Siemens","KEY-OPERATED SWITCH FOR EXT. UNIT","80","CAD","Bradley, Tyler","Bradley, Tyler","190"
"6AV2185-8AB01-2AA0","Siemens","RGB - illuminated pushbutton for Extension Unit Advanced ","297.93","CAD","Bradley, Tyler","Bradley, Tyler","191"
"6AV7674-1MG00-0AA0","Siemens","ILLUM. PUSHBUTTON FOR EXT UNIT (1NO)","42.15","CAD","Bradley, Tyler","Bradley, Tyler","192"
" 6AV7674-1LB20-0AA0","Siemens","12 label holders for self-labeling, flat, frame rounded at the bottom","32","CAD","Bradley, Tyler","Bradley, Tyler","193"
"6AV7674-1LB30-0AA0","Siemens","Inscription plates for Self-labeling, for indicator light and Illuminated pushbutton","32","CAD","Bradley, Tyler","Bradley, Tyler","194"
"6AV7674-1MB00-0AA0","Siemens","illuminated push-button for Extension Units, 22 mm, round, plastic, momentary contact","41","CAD","Bradley, Tyler","Bradley, Tyler","195"
"6AV7674-1KF00-0AA0","Siemens","Round pipe adapter for HMI PRO devices","137","CAD","Bradley, Tyler","Bradley, Tyler","196"
"6AV2124-0QC24-0BX0","Siemens","TP 1500 Comfort PRO - 15.4'' TFT display, 1366 x 768 pixels","4,242.06","CAD","Bradley, Tyler","Bradley, Tyler","197"
"6AV2125-2JB03-0AX0","Siemens","KTP900 Mobile 9"" ","3,823.50","CAD","Bradley, Tyler","Bradley, Tyler","198"
"6AV2125-2JB23-0AX0","Siemens","KTP900 Mobile 9"" with acknowledgement switch / E-Stop button","4,226","CAD","Bradley, Tyler","Bradley, Tyler","199"
"6AV2125-2AE13-0AX0","Siemens","Mobile Panel Connection Box - Standard","399.61","CAD","Bradley, Tyler","Bradley, Tyler","200"
"6AV2125-2AE23-0AX0","Siemens","Mobile Panel Connection Box - Advanced","523","CAD","Bradley, Tyler","Bradley, Tyler","201"
"6AV7674-1LA43-0AA0","Siemens","Extension Unit 15"" PROFISAFE","871","CAD","Bradley, Tyler","Bradley, Tyler","202"
"6AV2104-0FA06-0AH0","Siemens","SIMATIC WinCC Runtime Advanced 2048 PowerTags V16","4,797","CAD","Bradley, Tyler","Bradley, Tyler","203"
"6AV2107-0GA00-0BB0","Siemens","SIMATIC WinCC Logging for Runtime Advanced option for WinCC (TIA Portal) runtime","363","CAD","Bradley, Tyler","Bradley, Tyler","204"
"6AV2107-0RA00-0BB0","Siemens","SIMATIC WinCC Audit for Runtime Advanced option for WinCC (TIA Portal) runtime","985","CAD","Bradley, Tyler","Bradley, Tyler","205"
"6300P-215AAPSFDNB-5CABW19NNNANN-NN1S ","Allen-Bradley","VersaView 6300P Panel PC, 21.5""Aluminum, Panel, Standard Single Touch (Resistive), 16:9 1920x1080, 24 VDC isolated, Fanless ,1 PCI/PCIe, Intel Core i5, 8GB RAM, Windows 10 IoT LTSC (2019), 128 GB SSD 2.5 TLC","3,340.41","USD","Bradley, Tyler","Bradley, Tyler","206"
"2711P-T10C22D9P","Allen-Bradley","PanelView Plus 7 Graphic Terminal,Performance Model,Extended Features,10.4 in.,TFT Color,Standard Aspect Ratio,Touch screen,Device Level Ring Ethernet,18 30 V DC","2,970.31","USD","Bradley, Tyler","Bradley, Tyler","207"
"9701-VWMR030AENE","Allen-Bradley","FT View RT ME 1000 30D Lic EN ESD S/W","-1","USD","Bradley, Tyler","Bradley, Tyler","208"
"9701M-VWSTNMT30","Allen-Bradley","FT View RT ME 75D Lic EN ESD Software","3753","CAD","Bradley, Tyler","Bradley, Tyler","209"
"5PC9:205168.005-00","B&R","ATS Standard HMI","2,641.36","CAD","Bradley, Tyler","Bradley, Tyler","210"
"HMIMisc","Miscellaneous","HMI Enclosure","900","CAD","Bradley, Tyler","Bradley, Tyler","211"
"6AV7251-5GB07-0DA0","Siemens","SIMATIC IPC477E PRO fully protected IP65; 19"" multi-touch","5,979.24","CAD","Bradley, Tyler","Bradley, Tyler","212"
"8015401","Rittal","CP COMFORT PANEL 141806","2,401.84","CAD","Bradley, Tyler","Bradley, Tyler","213"
"6375010","Rittal","CP HANDLE SET","160","CAD","Bradley, Tyler","Bradley, Tyler","214"
"6206700","Rittal","TOP MOUNT JOINT SYSTEM 60","1,000","CAD","Bradley, Tyler","Bradley, Tyler","215"
"6206100","Rittal","SUPPORT SECTION 1000MM  SYSTEM 60","60","CAD","Bradley, Tyler","Bradley, Tyler","216"
"6206600","Rittal","90 DEGREE ANGLE PIECE SYSTEM 60","95.75","CAD","Bradley, Tyler","Bradley, Tyler","217"
"6206300","Rittal","COUPLING SUPPORT ARM CONNECTION SYSTEM 60","180","CAD","Bradley, Tyler","Bradley, Tyler","218"
"6AV7674-1LB10-0AA0","Siemens","Handles for HMI PRO devices, universally adjustable from 12"" to 22"", RAL9006 (silver)","453","CAD","Bradley, Tyler","Bradley, Tyler","219"
"
6AV7674-1LX00-0AA0","Siemens","USB interface for PRO Device, Cable and connector, USB-2.0 Type A","161","CAD","Bradley, Tyler","Bradley, Tyler","220"
"6AV7674-1NF01-0AA0","Siemens","Keyboard tray for PRO devices, inclination adjustable, IP65, RAL9006 (silver)","681.6","CAD","Bradley, Tyler","Bradley, Tyler","221"
"6AV7674-1NG00-0AA0","Siemens","Plate for mounting on the Keyboard tray for commercial keyboard and Mouse, RAL9006 (silver)","60.11","CAD","Bradley, Tyler","Bradley, Tyler","222"
"6ES7658-7BA00-2YB0","Siemens","SIMATIC Logon, software Remote Access for 3 clients","1,883","CAD","Bradley, Tyler","Bradley, Tyler","223"
"708TX","N-Tron","Ethernet IP switch - 8 port","854.34","CAD","Bradley, Tyler","Bradley, Tyler","224"
"716TX","N-Tron","Ethernet IP switch - 16 port","1,450.45","CAD","Bradley, Tyler","Bradley, Tyler","225"
"708M12","N-Tron","Ethernet IP switch - 8 port - field mountable","2,569.84","CAD","Bradley, Tyler","Bradley, Tyler","226"
"716M12","N-Tron","Ethernet IP switch - 16 port - field mountable","3,960.32","CAD","Bradley, Tyler","Bradley, Tyler","227"
"708M12POE","N-Tron","Ethernet IP switch - 8 port - field mountable - PoE","85","CAD","Bradley, Tyler","Bradley, Tyler","228"
"CAT5EX 10FT","N-Tron","ENET cables for field mountable switches","15","CAD","Bradley, Tyler","Bradley, Tyler","229"
"CAT5EX 50FT","N-Tron","ENET cables for field mountable switches","25","CAD","Bradley, Tyler","Bradley, Tyler","230"
"CAT5EX 100FT","N-Tron","ENET cables for field mountable switches","50","CAD","Bradley, Tyler","Bradley, Tyler","231"
"55544","Murrelektronik","MVK-ME DIO12 DIO4/IOL4 4P MVK EthernetIP compact module, metal housing,","403.8","USD","Bradley, Tyler","Bradley, Tyler","232"
"6GK5208-0BA00-2AF2","Siemens","8-PORT SCALANCE XF208 MANAGED IE SWITCH","1,780","CAD","Bradley, Tyler","Bradley, Tyler","233"
"58852","Murrelektronik","Xelity67 Ethernet  2Ã— M12 (female), X-coded + 8Ã— M12 (female), D-coded","560.45","USD","Bradley, Tyler","Bradley, Tyler","234"
"55557","Murrelektronik","MVK-MPNIO F DI8/4 F DO4 (MVK ProfiNet/PROFIsafe)","728","USD","Bradley, Tyler","Bradley, Tyler","235"
"6GK5212-2BB00-2AA3","Siemens","(Scalance X212, 12 ports managed IP20)","5,250","CAD","Bradley, Tyler","Bradley, Tyler","236"
"6GK5216-0BA00-2AA3","Siemens","(Scalance X216, 16 ports managed IP20)","2,345","CAD","Bradley, Tyler","Bradley, Tyler","237"
"6GK5224-0BA00-2AA3 ","Siemens","(Scalance X224, 24 ports managed IP20)","3,564","CAD","Bradley, Tyler","Bradley, Tyler","238"
"6GK5208-0HA00-2AS6","Siemens","SCALANCE XP208, MANAGED IE SWITCH, 8 X 10/100MBIT/S M12-PORTS, IP65/67, LED-DIAGNOSIS","1,207","CAD","Bradley, Tyler","Bradley, Tyler","239"
"6GK5216-0HA00-2AS6","Siemens","SCALANCE XP216, MANAGED IE SWITCH, 12 X 10/100MBIT/S M12-PORTS, 4 X 10/100/1000MBIT/S M12-PORTS IP65/67, LED-DIAGNOSIS","2,075","CAD","Bradley, Tyler","Bradley, Tyler","240"
"6GK5208-0BA00-2AC2","Siemens","SCALANCE XC208 manageable layer 2 IE Switch; 8x 10/100 Mbit/s","844","CAD","Bradley, Tyler","Bradley, Tyler","241"
"6GK5216-0BA00-2AC2 ","Siemens","SCALANCE XC216 manageable layer 2 IE Switch; 16X 10/100 Mbit/s","1,547.40","CAD","Bradley, Tyler","Bradley, Tyler","242"
"6GK5204-0BA00-2BF2","Siemens","SCALANCE XF204IRT, FLAT, MANAGED IE IRT SWITCH, 4 X 10/100MBIT/S RJ45 PORTS","1,641.18","CAD","Bradley, Tyler","Bradley, Tyler","243"
"6GK5615-0AA00-2AA2","Siemens","Scalance S615 LAN Router, NAT/NAPT, 5 Port Managed Switch","1,132.49","USD","Bradley, Tyler","Bradley, Tyler","244"
"6GK5216-0HA00-2TS6","Siemens","SCALANCE XP216 (EIP), managed IE switch, 12x 10/100 Mbit/s IEC 62443-4-2 certified; M12 ports, 4x 10/100/1000 Mbit/s M12 ports IP65, LED diagnostics, error signaling contact, redundant power supply, Ethernet/IP, network management, including dust caps, including electronic manual on CD-ROM, C-PLUG optional.","2,074.93","USD","Bradley, Tyler","Bradley, Tyler","245"
"1783-CMS10DN","Allen-Bradley","Stratix 5200 10 Port Switch","1,455.22","USD","Bradley, Tyler","Bradley, Tyler","246"
"1783-CMS10P","Allen-Bradley","Stratix 5200 10 Port Switch","1,825.84","USD","Bradley, Tyler","Bradley, Tyler","247"
"1783-CMS20DB","Allen-Bradley","Stratix 5200 20 Port Switch","3,339.64","USD","Bradley, Tyler","Bradley, Tyler","248"
"1783-CMS20DN","Allen-Bradley","Stratix 5200 20 Port Switch","2,421.50","USD","Bradley, Tyler","Bradley, Tyler","249"
"1783-CMS20DP","Allen-Bradley","Stratix 5200 20 Port Switch","140.72","USD","Bradley, Tyler","Bradley, Tyler","250"
"1783-CMS6P","Allen-Bradley","Stratix 5200 6 Port Switch","1,006.30","USD","Bradley, Tyler","Bradley, Tyler","251"
"943-434-023","Hirschmann","16 Port Managed Switch","3,435.48","USD","Bradley, Tyler","Bradley, Tyler","252"
"6GT2002-0JE20","Siemens","RFID communication module RF186C for PROFINET, Ethernet, EtherNet/IP, 2 readers connectable","975","USD","Bradley, Tyler","Bradley, Tyler","253"
"6GK19011BB102AA0","Siemens","IE FC RJ45 PLUG 180 2X2, RJ45 PLUG CONNECTOR (10/100MBIT/S) W. RUGGED METAL HOUSING AND FC CONNECTING METHOD, FOR IE FC CABLE 2X2 180 DGR CABLE OUTLET 1 PACK = 1 PCS","23","CAD","Bradley, Tyler","Bradley, Tyler","254"
"6XV18402AH10","Siemens","SIMATIC NET, IE FC TP STANDARD CABLE, GP 2X2 (PROFINET TYP A) TP INSTALLATION CABLE FOR CONNECTION TO FC OUTLET RJ45, FOR UNIVERSAL APPLICATION, 4-WIRE, SHIELDED, CAT. 5, SOLD BY THE METER MAX. CONSIGNMENT: 2000 M, MIN. ORDERING QUANTITY: 20 M","2.29","CAD","Bradley, Tyler","Bradley, Tyler","255"
"6GK19050FB00","Siemens","7/8"" CONNECTING PLUG W. AXIAL CABLE OUTLET FOR FIELD ASSEMBLY OF ET 200, SOCKET CONNECTOR,  PACK. UNIT 5 PIECES","165","CAD","Bradley, Tyler","Bradley, Tyler","256"
"6GK19050FA00","Siemens","7/8"" CONNECTING PLUG W. AXIAL CABLE OUTLET FOR FIELD ASSEMBLY OF ET 200; PIN CONNECTOR, PACK. UNIT 5 PIECES","159.22","CAD","Bradley, Tyler","Bradley, Tyler","257"
"6XV18308AH10","Siemens","SIMATIC NET ENERGY CABLE, 5-WIRE ENERGY CABLE, LITZ WIRE, 5 X 1.5 SQMM, TRAILING TYPE MAX. CONSIGNMENT: 1000 M, MIN. LENGTH ORDERED: 20 M SOLD BY THE METER","5.39","CAD","Bradley, Tyler","Bradley, Tyler","258"
"6GT28914FH20","Siemens","SIMATIC RF300/600 CONNECT. CABLE, PREASSEMBLED, BETWEEN ASM 456, RF160C, RF170C, RF18XC AND READER OR EXTENSION CABLE FOR ASM 456, RF170C OR RF18XC WITH MOBY D/E/I/U, RF300/600, PUR, CMG, TRAILING, LENGTH 2 M","63","CAD","Bradley, Tyler","Bradley, Tyler","259"
"6GT28914FH50","Siemens","SIMATIC RF300/600 CONNECT. CABLE, PREASSEMBLED, BETWEEN ASM 456, RF160C, RF170C, RF18XC AND READER, OR EXTENSION CABLE FOR ASM 456, RF170C OR RF18XC WITH MOBY D/E/I/U, RF300/600 PUR, CMG, TRAILING, LENGTH 5 M","73","CAD","Bradley, Tyler","Bradley, Tyler","260"
"6GT28914FN10","Siemens","SIMATIC RF300 CONNECT. CABLE, PREASSEMBLED, BETWEEN ASM 456, RF160C, RF170C, RF18XC AND READER, OR EXTENSION CABLE FOR ASM 456, RF170C OR RF18XC WITH MOBY D/E/I/U, RF300/600 PUR, CMG, LENGTH 10 M","87","CAD","Bradley, Tyler","Bradley, Tyler","261"
"6GT28914FN20","Siemens","SIMATIC RF300/600 CONNECT. CABLE, PREASSEMBLED, BETWEEN ASM 456, RF160C, RF170C, RF18XC AND READER, OR EXTENSION CABLE FOR ASM 456, RF170C AND RF18XC WITH MOBY D/E/I/U, RF300/RF600 PUR, CMG, TRAILING, LENGTH 20 M","119","CAD","Bradley, Tyler","Bradley, Tyler","262"
"6GT28914FN50","Siemens","SIMATIC RF300/600 CONNECT. CABLE, PREASSEMBLED, ZWISCHEN ASM 456, RF160C, RF170C, RF18XC AND READER, OR EXTENSION CABLE FOR ASM 456, RF170C AND RF18XC WITH MOBY D/E/I/U, RF300/RF600 PUR, CMG, TRAILING, LENGTH 50 M","236","CAD","Bradley, Tyler","Bradley, Tyler","263"
"6GT28914JH20","Siemens","SIMATIC RF300/600 M12-CONNECT. CABLE, PREASSEMBLED, BETWEEN ASM 456, RF160C, RF170C, RF18XC AND READER PUR, CMG, TRAILING, LENGTH 2 M READER-CONNECTOR ANGLED","87.81","CAD","Bradley, Tyler","Bradley, Tyler","264"
"3RX98020AA00","Siemens","AS-I SCREW CAPS M12,1 SET=10PCS","13,800","CAD","Bradley, Tyler","Bradley, Tyler","265"
"6ES71943JA000AA0","Siemens","SIMATIC DP, BLANK PLUG 7/8"" FOR ET 200, 10 PIECES PER PACKAGING UNIT","9","CAD","Bradley, Tyler","Bradley, Tyler","266"
"6GT28012AB10","Siemens","SIMATIC RF300 READER RF340R (RF300+ISO15693) WITH RS422-INTERFACE (3964R) IP 67, -25 UP TO +70 DGR/C, 75 X 75 X 41 MM WITH INTEGRATED ANTENNA","701","CAD","Bradley, Tyler","Bradley, Tyler","267"
"6GT28004BB00","Siemens","SIMATIC RF300 TRANSPONDER RF340T 8 KBYTE FRAM, IP 68, -25 UP TO +85 DEGR/C, 48 MM X 25 MM X 15 MM, MIN. ORDER QUANTITY 5 PCS","140.39","CAD","Bradley, Tyler","Bradley, Tyler","268"
"BIS0131","Balluff","HF read/write heads and antennas ","258.21","CAD","Bradley, Tyler","Bradley, Tyler","269"
"BIS01FJ","Balluff","HF processor units ","1,217.25","CAD","Bradley, Tyler","Bradley, Tyler","270"
"6GT2801-2BA10","Siemens","SIMATIC RF300; Reader RF340R (GEN2); RS422 interface (3964R); IP67","701","CAD","Bradley, Tyler","Bradley, Tyler","271"
"6GT2801-3BA10","Siemens","SIMATIC RF300 Reader RF380R (GEN2) RS422/232 interface (3964R) IP67","1,068","CAD","Bradley, Tyler","Bradley, Tyler","272"
"6GT2600-4AC00","Siemens","D424 RFID Tag (2kByte FRAM)","26.89","CAD","Bradley, Tyler","Bradley, Tyler","273"
"6GT2891-4FH20","Siemens","Transceiver cable (2m)","63","CAD","Bradley, Tyler","Bradley, Tyler","274"
"6GT2891-4FH50","Siemens","SIMATIC RF, MV plug-in cable, pre-assembled, between ASM 456, RF160C, RF170C, RF18XC and reader, or extension cable for ASM 456, RF160C, RF170C, RF18XC with RF, MV, MOBY PUR, trailing, length 5 m.","73","CAD","Bradley, Tyler","Bradley, Tyler","275"
"1494U-J200-C4-LA-M-PC","Allen-Bradley","Disconnect Kits,600V 200 A Sw 200 A Clips,Type J Fuse Clips,Protective Cover,Cable length (4 feet),Lugs Aluminum,Painted Metal Handle","1,540.40","USD","Bradley, Tyler","Bradley, Tyler","276"
"1494U-J60-C4-M-PC","Allen-Bradley","Disconnect Kits, 600V, 60A switch, 60A clips, Type J Fuse Clips, Protective Cover, Cable length (4 feet), Painted Metal Handle","570.04","USD","Bradley, Tyler","Bradley, Tyler","277"
"1494U-J100-C3-M-PC","Allen-Bradley","Disconnect Kits, 600V, 100A switch, 100A clips, Type J Fuse Clips, Protective Cover, Cable length (3 feet), Painted Metal Handle","731.99","USD","Bradley, Tyler","Bradley, Tyler","278"
"1494U-J200-C4-M-PC","Allen-Bradley","Disconnect Kits, 600V, 200A switch, 200A Clips,Type J Fuse Clips,Protective Cover, Cable length (4 feet), Painted Metal Handle","1,333.69","USD","Bradley, Tyler","Bradley, Tyler","279"
"1489-M3C100","Allen-Bradley","Bulletin 1489-M Thermal-magnetic Circuit Breakers, Standard configuration, AC, 3 Pole Configuration, Trip Curve C, UL/CSA Max. Voltage: 480Y/277V AC , IEC/EN Max. Voltage: 400V AC,10A","140.72","USD","Bradley, Tyler","Bradley, Tyler","280"
"1489-M3C200","Allen-Bradley","Bulletin 1489-M Thermal-magnetic Circuit Breakers, Standard configuration, AC, 3 Pole Configuration, Trip Curve C, UL/CSA Max. Voltage: 480Y/277V AC , IEC/EN Max. Voltage: 400V AC,20A","140.72","USD","Bradley, Tyler","Bradley, Tyler","281"
"1489-M3C300","Allen-Bradley","Bulletin 1489-M Thermal-magnetic Circuit Breakers, Standard configuration, AC, 3 Pole Configuration, Trip Curve C, UL/CSA Max. Voltage: 480Y/277V AC , IEC/EN Max. Voltage: 400V AC,30A","156.87","USD","Bradley, Tyler","Bradley, Tyler","282"
"1489-M3C500","Allen-Bradley","Bulletin 1489-M Thermal-magnetic Circuit Breakers, Standard configuration, AC, 3 Pole Configuration, Trip Curve C, UL/CSA Max. Voltage:240V AC; IEC/EN Max. Voltage 400V AC,50A","194.92","USD","Bradley, Tyler","Bradley, Tyler","283"
"1489-M1CXXX (1A - 20A)","Allen-Bradley","Bulletin 1489-M Thermal-magnetic Circuit Breakers, Standard configuration, AC, 1 Pole Configuration, Trip Curve C, UL/CSA Max. Voltage: 277V AC, 48V DC ; IEC/EN Max. Voltage: 230V AC, 1A - 20A","54.44","USD","Bradley, Tyler","Bradley, Tyler","284"
"85-1050SH","Dongan","85 Series General Purpose Transformer, 240x480 Primary, 120/240 Secondary, 3kVA","803.31","USD","Bradley, Tyler","Bradley, Tyler","285"
"85-1055SH","Dongan","85 Series General Purpose Transformer, 240x480 Primary, 120/240 Secondary, 5kVA","1,146.72","USD","Bradley, Tyler","Bradley, Tyler","286"
"85-1060SH","Dongan","85 Series General Purpose Transformer, 240x480 Primary, 120/240 Secondary, 7.5kVA","1,505.79","USD","Bradley, Tyler","Bradley, Tyler","287"
"CEP-FSPDB200","Mersen","Power Distribution Block, Compact, Finger-Safe, IP20, 200A","0","USD","Bradley, Tyler","Bradley, Tyler","288"
"CEP-FSPDB160","Mersen","Power Distribution Block, Compact, Finger-Safe, IP20, 160A","72.21","USD","Bradley, Tyler","Bradley, Tyler","289"
" 194R-J30-1753-PBN2 ","Allen-Bradley","Fused Disconnect Switch, 30A, 600VAC, 250VDC, 3-Pole, Class J, Rotary, Standard Shaft, OSHA Padlocking, Touch-Safe Design","107.58","USD","Bradley, Tyler","Bradley, Tyler","290"
"194R-J60-1753","Allen-Bradley","Rotary Disconnect Switch, 60 A, 3-Pole, Class J Fuses, Open Type, UL 98, CSA Certified","13.14","CAD","Bradley, Tyler","Bradley, Tyler","291"
"194R-HM4","Allen-Bradley","Rotary Handle, Black, NEMA Type 3R/3/12/4/4X, IP66, Padlockable","22.09","CAD","Bradley, Tyler","Bradley, Tyler","292"
"BC9JM","Rex Manufacturing","Power transformer - 600/480VAC Pri. - 208Y120VAC Sec.","1,164.63","CAD","Bradley, Tyler","Bradley, Tyler","295"
"BC15JMZ3","Rex Manufacturing","Power transformer - 600/480VAC Pri. - 208Y120VAC Sec.","2,018.29","CAD","Bradley, Tyler","Bradley, Tyler","296"
"BA45JMZ3","Rex Manufacturing","Power transformer - 600/480VAC Pri. - 208Y120VAC Sec.","2,402.44","CAD","Bradley, Tyler","Bradley, Tyler","297"
"BC75JMZ3","Rex Manufacturing","Power transformer - 480VAC Pri. - 208Y120VAC Sec.","4,865.85","CAD","Bradley, Tyler","Bradley, Tyler","298"
"7KM3220-0BA01-1DA0","Siemens","SENTRON PAC3220 LCD 96X96 mm Power Monitoring Device Controll panel instrument","542.57","CAD","Bradley, Tyler","Bradley, Tyler","299"
"GET QUOTE","Rex Manufacturing","Adder for stainless transformers","0","CAD","Bradley, Tyler","Bradley, Tyler","300"
"FN 3256H-64-34","Schaffner","RFI line filter 480VAC, 3 Phase, 64A","315.42","CAD","Bradley, Tyler","Bradley, Tyler","301"
"ESP 415 M1","Furse","Transient voltage suppressor","987.3","CAD","Bradley, Tyler","Bradley, Tyler","302"
"FSPDB3A","Ferraz Shawmut","1 pole finger safe splitter block, 600VAC, 310A","51.29","CAD","Bradley, Tyler","Bradley, Tyler","303"
"USCC3","Ferraz Shawmut","3 pole fuse holder","26.43","CAD","Bradley, Tyler","Bradley, Tyler","304"
"USCC2","Ferraz Shawmut","2 pole fuse holder","17.83","CAD","Bradley, Tyler","Bradley, Tyler","305"
"USCC1","Ferraz Shawmut","1 pole fuse holder","8.79","CAD","Bradley, Tyler","Bradley, Tyler","306"
"LPJ-60SP","Bussmann","Class J Fuses, 60A","19.10545","CAD","Bradley, Tyler","Bradley, Tyler","307"
